text,label,prediction,probability_positive,correct
"I saw this movie a few years ago, and man I never want to golf again. I mean ninjas apparently have no respect for the game of golf or the way it has evolved. And I'm not talking about ""victimless"" stuff like forging a scorecard. No no- Based on what I've seen here, they shamelessly massacre policemen and golfers alike on hallowed country club grounds. Judge Smailes would be spinning in his grave. And do they repent for said sins? No no, based on what I have seen here, the typical response by a slain ninja is to take over the body of a buxom female telephone repairwoman and seek revenge. I find this morally reprehensible, and needless to say, after viewing this nonsense, I not only stopped golfing and talking on the telephone, but also decided to stop feeding the homeless.",0,0,0.0061533973,1
"In Sri Lanka, a country divided by religion and language, the civil war between the pro-Sinhalese government and the Liberation Tigers of Tamil Eelam (LTTE), a separatist organization, has claimed an estimated 68,000 lives since 1983. Human rights groups have said that, as a result of the war, more than one million people have been displaced, homeless or living in camps. The impact on children and families caught in the conflict is sensitively dramatized by acclaimed Tamil director Mani Ratnam in his 2002 film A Peck on the Cheek, winner of several awards at the National Film Awards in India. While the civil war is merely a backdrop for the story of a young girl's voyage of discovery, the human cost of war is made quite clear and Ratnam gives the fighting a universal context, pointing the finger at global arms traffickers as the source of wrongdoing.<br /><br />Beautifully photographed in Southern India by cinematographer Ravi K Chandran in a setting mirroring the terrain of Sri Lanka, the film tells a moving story about an adopted 9-year old girl who sets out to find her real mother in the middle of the fighting in Sri Lanka. Played with deep feeling and expressiveness by P.S. Keerthana in a memorable performance, Amudha is brought up by a loving middle class family with two younger brothers after her natural parents Shyama (Nandita Das) and Dileepan (J.D. Chakravarthi) were forced to flee when the fighting broke out, leaving her in a Red Cross camp. In a loving flashback, we see Amudha's adoptive parents, father Thiru (Madhavan) a prominent Tamil writer, and mother Indra (Simran) a TV personality, marry to facilitate their adoption of the darker-skinned little girl.<br /><br />Young Amudha has no idea that she is adopted until it is sprung upon her abruptly on her ninth birthday, according to the parents' prior agreement. While she is playing, Thiru tells her almost in a matter of fact tone that ""you are not our daughter"" and the response is predictable. Distraught, she questions who her father was, what her mother's name was, why she gave her up, and so forth but few answers are forthcoming. Amudha runs away several times until her parents agree to go to Sri Lanka to help her find her true mother, now a fighter for the Tamil separatists. The family's immersion in the reality of the civil war leads to some traumatic moments and difficult decisions, handled mostly with skill by Ratnam, though a sequence where the family was caught in a crossfire felt amateurish.<br /><br />A Peck on the Cheek is of course a Bollywood-style film and that means tons of music and melodrama. The melodrama did not get in the way because of the strong performances by the lead actors; however, I found the musical dramatizations of songs by A. R. Rahman counter to the mood of the film with their slick, high production techniques and fast-paced music video-style editing. Yet the compelling nature of the story and the honesty in which it is told transcend the film's limitations. Tamil cinema has been criticized by many, even within the country as being too clichéd and commercial, yet A Peck on the Cheek is both a film of entertainment and one that tackles serious issues. That it successfully straddles the line between art and commerce is not a rejection but a tribute.",1,0,0.013208149,0
"I have seen this film at least 100 times and I am still excited by it, the acting is perfect and the romance between Joe and Jean keeps me on the edge of my seat, plus I still think Bryan Brown is the tops. Brilliant Film.",1,1,0.98910224,1
"I saw this movie on TV back in the 60s and it still stands up well even after brilliant performances as a DI by R. Lee Ermey, Lou Gossett and even Frank Sutton (in a comic vein) on Gomer Pyle USMC. I wasn't in the service but my brother had a recording of a Drill Instructor in the Air Force and it was scary. Others in the family who were Marines told me that Ermey and even Sutton were pretty spot on in their roles. The only thing missing in ""The D. I."" is the language. In 1958 they couldn't yet use profanity on film, yet Jack Webb came across pretty damned tough without it. I think it's his best role ever. In Dragnet he was quite stiff I'll admit, though not as bad as George Raft, but he used it only to effect in ""The D. I."" You never forget the funeral for the dead flea! The romantic part was just to stretch the movie, but didn't really interfere with the basic plot. Don Dubbins was pretty good to but he never surpassed this film in his career. As far as patriotism, Jack Webb was TV's John Wayne. He carried it a bit too far in some Dragnet episodes, but not in ""The D. I."" After 40 some years I hoped the film could stand up to the likes ""Full Metal Jacket"" and others; and it did!",1,1,0.8291654,1
"This movie is great from start to finish about a group of med students that get together and literally kill each other by stopping their hearts and then revive themselves. They then research what happens from the ""near death"" experiences. As each one goes through the experience, they become haunted by their deepest fears that seem to materialize as reality. This ranges from dead kids with hockey sticks to dead fathers that seem to be upstairs.<br /><br />The cast is first rate and Oliver Platt is hilarious in one of the best roles of his career. I am not a big Keifer Sutherland fan but even he does an excellent job. This is a movie that I can watch over and over!",1,1,0.6552521,1
"Continuing in the string of ""stalker/slasher"" flicks in the vein of ""Wolf Creek,"" ""Hostel,"" ""Joy Ride,"" etc., comes ""Rest Stop."" The most unoriginal and useless one of them all.<br /><br />We start, reasonably promising, with the violent death of a pretty young girl in a filthy restroom.<br /><br />This is where our interest is lost. We, then, move to the cliché road trip couple, on their way to LA with their eyes on acting stardom. . . which, doing movies like this, they'll never achieve.<br /><br />From the sexual romp in the park, the couple drives, arguing all the way, to a deserted and disgusting rest area for the girl to use the bathroom. Harmless enough until she exits and finds her boyfriend missing and realizes she's being stalked by a lame version of ""Joy Ride""'s Rusty Nail. . . only driving around in Mater from ""Cars"".<br /><br />Honestly, if this had been directed/written/produced/acted by anyone else, it might've been fairly good. But no.<br /><br />Because then comes the ghost story. Yup. . . you guessed it. Plenty of ""oh, i'll help you, but wait, you're dead"" to ""wait is this stalker a person, monster, or ghost?"".<br /><br />But wait? Who comes to the rescue to save the girl's life and possibly the movie? That one Lawerence brother. Excellent. We're saved. (sarcasm) Oh wait, no we're not.<br /><br />You know. . . if you want to laugh off a pretty bad, or if you get free rentals like I do, give it a try.<br /><br />If anything, you'll learn how NOT to make a movie.<br /><br />-AP3-",0,0,0.015273826,1
"Would it be too trite of me to create a review of just me saying the word ""STUPID"" over and over again? Probably.<br /><br />This is arguably the worst movie I've ever seen. Seriously. There are better movies on Mystery Science Theater 3000. I saw this movie for the first time at a friend's birthday party when it was still in theaters. Even though it was actually *with friends* and at one of their *birthday parties,* I had to leave. I actually had to leave. I just excused myself and walked out. Fortunately, some of the parents were doing the same thing, so I didn't look like a total jerk... Anyway, this film is awful. There is nothing to like about it. It's painfully (as in actually causing physical pain) slow, and sickeningly (literally does induce vomiting) unfunny. You almost feel sorry for Tom Arnold, but then you don't because you remember he was actually IN the movie. It really does pain me to even THINK about it.<br /><br />It was on TV a few months ago, and I decided I had to watch it all the way through, just once. I remembered then why I walked out in the first place, and felt guilty for boosting its ratings by even one viewer. The gags aren't funny, the characters arn't interesting. it's just a senseless mess of pratfalls and stupidity.<br /><br />There is a small crowd of then-eight-year-old kids who watched the movie when it came out and considered it ""brilliant."" If you think that having your face removed piece by pece with an ice cream scoop is brilliant, then by all means, go rent it. But if you have any dignity whatsoever avoid this big STUPID mess altogether. SCORE: 0/10 ... maybe a negative 1, actually.",0,0,0.014471642,1
"Evil never looked so bad. They meant it.<br /><br />When a buddy of mine picked this DVD up at a half-priced book store, I didn't know what to expect. I mean, based on the title, I knew it would be worth a laugh, but I didn't realize how laughable it would really be.<br /><br />The first time through, I missed some of the dialogue (if you could call it that) because we were all too busy poking fun at the plot of the movie. It seemed like it was written in filmed in less than a week, and they hadn't the budget to go back and fix some of the minor flaws. Wait, did I say ""minor""? I meant the exact opposite. For instance, the main character is credited as 'Ken', but several times throughout the film he is referred to as 'John'. <br /><br />If the plot holes aren't enough fun for you, take a look at the acting. Nobody seems overly concerned about the zombie raids in their state, including the mother of the main character, who is missing for days while she sits in front of a fireplace reading a book.<br /><br />The constraints that the budget puts on the movie are equally as hilarious. Maybe they didn't have a permit to film wherever they were, because during the BIG MOTORCYCLE CHASE SCENE, the characters are obeying all traffic regulations. The zombies, who had just killed twenty or so people, actually stop at a stop sign coming out of a parking lot. I don't even do that, but then again, I'm not a biker zombie. The ending of the movie looks like they just ran out of money. It ends so suddenly that it leaves you wanting more... On second thought, it ends just soon enough.<br /><br />So if you're looking for a good time with your friends, seek out this movie. It's a great unintentional comedy.",0,0,0.069904424,1
"First of all. Should Cameron Diaz ever be allowed to act again? To call that a bad performance would be an insult to bad performances. That was a historically horrific performance. Any small chance that Diaz had at being a serious actress is now completely done after that. Laughably horrible.<br /><br />Two, the movie was extremely boring, and not very thought provoking at all. I can sit around and ponder human nature without having to watch terrible actors, play out a terrible story.<br /><br />Third, there was not a single likable character, and even worse, it seemed like that was done by design. You were not supposed to like, or feel sympathy for any character. It was quite effective. I wanted them all to just die to be honest. Aliens included. Kid included. Everyone was just one big mope in this movie. Everyone literally just moped around, and they called it a movie. You could barely distinguish the zombie ""employees,"" with regular people, because they all seemed like zombies.<br /><br />Lastly, nothing really makes sense. From the characters reactions and emotions, to the literal story line, it all just seems random. This is just a really bad movie, disguised and couched as a ""thinking mans movie,"" which is meant to be confusing. Give me a break. A bad movie is a bad movie. And this movie was bad.",0,0,0.0070366086,1
"Now any Blaxploiation fan will recognise the ingredients: big Afros, topless babes, surreally bad fashions and some 'jive' talk. In this case add in a lead who can't act, a plot that makes little sense, editing by someone with no hands who has been blindfolded and the most god-awful fight scenes and you have 'TNT Jackson'. Not quite bad enough to be good, but not good enough to be bad, this is a wonderful mess from start to finish. I especially loved the endless continuity errors and the lead's white stunt double.<br /><br />This is so '70s bad Far Eastern martial arts meets black power that it hurts, but boy it hurts so good! I am ashamed to admit that I almost enjoyed it.",0,0,0.09386261,1
"Without saying how it ended, it is sufficient to say that the whole thing degenerates from about five minutes before the end. If the standard had been maintained throughout, the movie would be worth a seven.<br /><br />One wonders in a way why a woman was added to the cast. (Well - not really!) The premise is a good one The situation the victims find themselves in is pretty terrifying and it's rather well done, but you get the impression the makers of the film lost interest towards the end, or as a previous contributor said, they changed writers and handed over to someone else.",0,0,0.13464676,1
"A Formula For Murder isn't a well known Giallo, but that isn't to say it's not a very good one! The film is directed by Alberto De Martino, the man behind cult classics such as The Antichrist and Blazing Magnums. The film was released late on in the Giallo cycle, but more than stands up to many of the films released around the 'golden' period in the early seventies. Despite a lack of logic in some areas, the film works mainly due to the competent way it mixes Argento style death scenes with some genuinely surprising plot twists, and a host of well defined characters. The film is, perhaps, not as exciting overall as many other films in the genre; but this is more than compensated for by the assured way that the central situation is fed to the audience, and the tension resulting from that. The plot begins by showing a fake priest raping a young girl named Joanna, before pushing her down a flight of steps. We then fast forward several years and the girl is now a woman, who is unfortunately in a wheelchair. She is being trained for a sports event by Craig; a man who also has romantic designs on her. However, his proposal isn't met with glee by Joanna's personal assistant, who also has romantic designs on her.<br /><br />The film features a plot twist half way through that makes up the backbone of the movie, and while it's not exactly logical; it's good to watch and hints that you're in for an interesting movie. Director Alberto de Martino is clearly not afraid to show a few outrageous gore scenes, and the best of which in this film features a priest being battered to death by a spade - and I personally wouldn't hesitate to name that sequence as one of my favourite Giallo murder scenes! The plot can be a little uneven at times, but generally the action is very good. The director spends what seems like an eternity on the conclusion to the film; but it's absolutely packed with tension, and the way that it plays out is good in that it takes advantage of all the plot points that have gone before it. The musical score, taken from Fulci's The New York Ripper, works well in this film also and, breaking a Giallo tradition, de Martino's film also features some rather good acting performances from cult veteran David Warbeck and Christina Nagy, in her only feature film role. Overall, this film isn't one of the easiest Giallo's to come across; but its well worth tracking down and comes recommended to fans of this sort of film.",1,0,0.4414485,0
"Yikes.<br /><br />I've seen quite a few bad movies in my days, a lot of them in the company of Mike, Tom, Crow and the others from MST3k. So was the case with this one as well and even though I found the movie in itself quite funny, it wouldn't have been nearly as fun without the MST3k commentary.<br /><br />The movie is a prime example of really bad movies coming out of Europe during the eighties. Horrible music, horrible acting, horrible plot (what little there is), horrible dialogue and really, really, REALLY, horrible editing. Cripes.<br /><br />This might be called a turkey if it weren't for the fact that it's not unique in any way whatsoever. It's pretty much the same kind of film that almost every italian hack of a director cranked out.<br /><br />So, try and get the MST3k version. It's a pretty fun episode with Mike and gang in quite good form.",0,0,0.01702904,1
"This is not a film to impress you with high budget, high-tech shots, fast camera movements or glimmering costumes thought by an overzealous and hungry director. But it's a film by a director who is also a very good photographer, who has a very good sense of looking at things as a human, not as an half-god unlike most of the directors. This is not a film in which actors and actresses try to give their best 'performances' with unreal or, at best, learned gestures and mimics. Rather, it's a film in which they act as real as it can be. Actually, they are not professional actors at all. The dialogues between the main characters, their expressions, their feelings are as real as they can easily be yours in real life. You tell the same lies to the people around you with the same regrets that you avoid to express with words. You show the same signs of nuisance to an unwanted guest. This is the same feeling of disconnection that you get in modern city life. And this is your chance to see yourself from outside, impersonated by the main characters. I saw all of the films of Nuri Bilge Ceylan, incl. his short film Koza (Cacoon) thanks to those who puts it in the DVD. Many would compare him with Tarkovsky, Ozu and maybe Bresson or Bergman as he is emerging as a true auteur. And he is sincere in saying that his films are not to make money but to give a meaning to his life. That is the kind of sincerity you'll find in Uzak.",1,0,0.17559974,0
"Rachel and Chuck Yoman (Valerie Harper, Gerald McRaney), decided the city is too busy and dangerous for their family, so they packed up their reluctant son (Gregory Togel) and daughter (Tammy Lauren) and moved back to a lake like the one Rachel lived at as a child.<br /><br />They say you can not go home again but this is an ideal rural home with what at first seems like a Mayberry feel. Later the residence seems to be more like the people in Deliverance. Soon bodies start turning up and everybody looks suspect with the exception of a few friendly faces. This does not keep the family from enjoying running around and messing around in the woods.<br /><br />We find that they have to be super ignorant to find the secrets and not tell anyone until they get ax-cepted as the antagonists. <br /><br />Can the ignored young Stevie save his parents or will their pursuer(s) put his/her foot in it?<br /><br />This film is more than most parodies as it was played with strait faces. They could not have chosen better actors and Daryl Anderson was exceptionally creepy. An added plus is that they let us know what is happening before the characters find out, instead of pulling a clue out of the hat after the fact. Anyway this made for TV movie is good for a few laughs.",1,0,0.031669255,0
"I don't recommend you watching this movie if you are easily offended. I'm not even easily offended and this movie made me frustrated. It's so disgusting. And it doesn't make sense. All the internet thing is so cliché, and the producer obviously didn't understand all the ""internet rules"". When you chat with someone you CAN track their IP address. Really? (see the sarcasm here). It was dumb. Pointless. And I didn't even watch the end. I could always say ""this doesn't make sense, this neither..."" This movie is pure crap at his best. Nice comment right?",0,0,0.00644152,1
"This may be all you need to know in order to decide whether you want to see this.<br /><br />The movie is bad. Really, really bad. And sometimes it seems to be aware of that and make fun of how bad it is. It aligns cliche after cliche and even manages to grow worse as it goes along with some moments that are bad enough to be hilariously funny.<br /><br />If you can laugh about really poor quality in script writing and production values, you might enjoy it. Otherwise prepare for some serious brain damage.<br /><br />3/10",0,0,0.01694993,1
"While I agree with the previous post that the cinematography is good, I totally disagree with the rest: This is nothing more than a porno movie disguised as an artsy film. Showing little boys naked is not art and amounts to child porn. Steer clear of this dud. Stupid is what this film is.",0,0,0.016449815,1
"I'm afraid I must disagree with Mr. Radcliffe, as although he is correct in saying this isn't a comedy, it has many other merits. The plot is a little mad at parts, but I believe it it all fits together nicely, creating a satisfying, enjoyable film. The last scene was rather abysmal compared to the rest of the film, but the actual ending of the plot a few scenes previously is very interesting, showing just what someone will do under stressful circumstances.<br /><br />I would recommend this film to fans of thrillers and action movies, but if you're a fan of gangster movies then as long as you don't expect expect something as deep as Goodfellas then you should still find it enjoyable.",1,0,0.4918763,0
"Another sadistic and ultra-sleazy late 70's/early 80's revenge movie?? Wes Craven sure launched a popular trend with his ""Last House on the Left"" Although ""Terror Express"" is more like a rip-off of other rip-offs, like ""I Spit on your Grave"" and especially ""Night Train Murders"". Storywise, this movie has absolutely nothing new to offer so the only thing left to do for director Ferdinando Baldi was to multiply the sleaze-factor by a thousand! This is actually just a soft core porn flick that gets a little bit rough near the ending. On the night train from Rome are three hopelessly imbecile loser running amok. They provoke the male travelers and sexually harass the females. Things get a little out of control and a traveling convict comes to the rescue of a prostitute who keeps being screwed around by the three. This is a very tame movie and there wasn't even enough budget to buy a couple bags of fake blood. This type of movies is generally infamous for the brutal rape sequences and the discriminating behavior towards women, but the sex in ""Terror Express"" isn't unsettling at all. On the contrary, these 'rapists' spend more time orally pleasuring their victims then getting some themselves! The music is great, the dialogs are unintentionally hilarious and the characters are the most ridiculous ones I ever beheld. The villains are wimps and the train-passengers are so motionless they look like part of the set. If you like your exploitation as sleazy as it gets, this is your film. However, your hunger for blood and controversy will definitely not be stilled. ""Terror Express"" should be in the porn-section of videostores.",0,0,0.037984293,1
"This movie was sooooooo sloooow!!! And everything in it was bland, the acting, the plot,etc. It was such a disappointment, since the description looked so good! Do not be fooled! This movie is not worth the time it takes to watch it!!!",0,0,0.00991951,1
"This movie was definitely scripted with FF VII fans ONLY in mind. I am someone who has never played the original game and watched it with a friend who was a series fan. From a visual and technical standpoint this movie is just as good as ""The Spirits Within"", if not better, but from a story standpoint, I was pretty lost. One major plot weakness that stood out to me was the scene where ""all"" of the children dying of geostigma were brought to the healing ""reunion"" by the three Jenovites. All told there were about 15 kids in all... Hmmmm... I thought that this Geostigma was an illness of pandemic proportions... I understand why they did it that way (time, budget,CPU), but it just seemed cheesy after all the explanation about how the bad guys needed to collect all of those who had Jenova cells so that Jenova could be reincarnated. The subtitle version that we had (some fan sub from the internet) was a pretty direct translation and therefore probably added to my confusion.<br /><br />It did prick my interest in FF VII however, and I spent a few hours on the FF VII wiki reading about the main characters and the plot. Once I read the Advent Children wiki, things made a lot more sense. If you are a video game or Sci-Fi fan this movie is a pretty good flick, but like a previous review said, it comes off like a 90 minute fight scene. You never really get to know any of the characters, and the story does just seem to jump from scene to scene without much explanation, even though some explanation just might be required. Thank goodness for wikpedia.",1,0,0.23333646,0
